Category,Sheet,MedicationName,Question,CorrectAnswer,Option_1,Option_2,Option_3,Option_4,Option_5
Comprimés,Comprimés,Tambocor,"Le médicament ""Tambocor"", composé de ""Acétate de Flécaïnide"", est indiqué pour?",Pour réguler le rythme cardiaque,Pour réguler le cycle menstruel ou traiter un déficit en progestérone,Traitement de certaines maladies auto-immunes et de certains cancers.,Pour soulager les symptômes d'allergies,Pour réguler le rythme cardiaque,"Douleurs abdominales (spasmes, syndrome du côlon irritable)."
Comprimés,Comprimés,Primolut,"Le médicament ""Primolut"", composé de ""Acétate de Noréthistérone"", est indiqué pour?",Pour réguler le cycle menstruel,Pour réguler le cycle menstruel,"Crème apaisante, reparatrice, hydrantante.",Pour prévenir la formation de caillots sanguins,Infections parasitaires ou bactériennes (prescription obligatoire).,Antiémetique
Comprimés,Comprimés,Taganil,"Le médicament ""Taganil"", composé de ""Acétatylleucine"", est indiqué pour?",Pour améliorer l'énergie et la récupération musculaire,Pour améliorer l'énergie et la récupération musculaire,Constipation (facilite le transit),Pour aider à prévenir l'anémie et maintenir la santé thyroïdienne,Pour soutenir le métabolisme et l'énergie,Antiémétiques (vomissement)
Comprimés,Comprimés,Diamox,"Le médicament ""Diamox"", composé de ""Acétazolamide"", est indiqué pour?",Pour prévenir le mal d'altitude,Antidouleur | Antioxydant,Pour traiter certains cancers et maladies auto-immunes,"Équilibre de la flore intestinale (après antibiotiques, diarrhée).",Pour prévenir le mal d'altitude,"Douleurs et inflammations (arthrite, migraines)"
Comprimés,Comprimés,Cicloviral,"Le médicament ""Cicloviral"", composé de ""Aciclovir"", est indiqué pour?",Pour traiter les infections à herpès,Pour traiter les infections à herpès,"CRÈME: Effet chauffant | Tonifie, detend, apaise.","Symptômes du rhume (ex. congestion nasale, toux, fièvre, courbatures).","Pour soulager la douleur, la fièvre et les spasmes musculaires",Complément en calcium (prévention de l’ostéoporose).
Comprimés,Comprimés,Adronat,"Le médicament ""Adronat"", composé de ""Acide alendronique"", est indiqué pour?",Pour renforcer les os,Antidouleur | Antioxydant,"Inflammations aiguës (bursite, épicondylite)","Mycoses à dermatophytes des cheveux, des ongles et de la peau.",Pour renforcer les os,"GEL: Effet frais | Soulage, apaise, rafraichit."
Comprimés,Comprimés,Fosavance,"Le médicament ""Fosavance"", composé de ""Acide alendronique | colécalciférol"", est indiqué pour?",Pour renforcer les os et prévenir l'ostéoporose,Crème de massage chauffante,Pour renforcer les os et prévenir l'ostéoporose,Pour nettoyer l'estomac en cas d'intoxication et troubles digestifs,Pour traiter la carence en fer et prévenir l'anémie,Pour détendre les muscles et réduire les spasmes
Comprimés,Comprimés,Folio,"Le médicament ""Folio"", composé de ""Acide folique | Iode"", est indiqué pour?",Pour aider à prévenir l'anémie et maintenir la santé thyroïdienne,"Acné, poumons, infections génitales",Augmentation du taux de testostérone chez les hommes en déficit.,Inconfort gastrique léger.,Sécheresse vaginale,Pour aider à prévenir l'anémie et maintenir la santé thyroïdienne
Comprimés,Comprimés,Ponstyl,"Le médicament ""Ponstyl"", composé de ""Acide méfénamique"", est indiqué pour?",Pour soulager la douleur,Crème de massage chauffante,Pour neutraliser l'excès d'acidité de l'estomac,Pour soulager la douleur,Irritations de la peau.,Stimule le transit
Comprimés,Comprimés,Nifluril,"Le médicament ""Nifluril"", composé de ""Acide niflumique"", est indiqué pour?",Pour soulager la douleur et l'inflammation,Lutte contre les infections bactériennes graves.,Pour soulager la douleur et l'inflammation,Cooling gel (rafraichit et doncontracte) | Warm-up gel (decontracte et detend),"Brûlures d’estomac, reflux acide.","Infections urinaires, respiratoires + fluidification des sécrétions bronchiques."
Comprimés,Comprimés,Acigam,"Le médicament ""Acigam"", composé de ""Acide tiaprofénique"", est indiqué pour?",Pour soulager la douleur et l'inflammation des articulations,Pour aider à rétablir l'équilibre en potassium et neutraliser l'acidité,Traitement de certaines maladies auto-immunes et de certains cancers.,Emulsion cutanée hypoallergenique (réparatrice cicatrisante),Pour soulager la douleur et l'inflammation des articulations,Pour aider à la digestion
Comprimés,Comprimés,Atiaf,"Le médicament ""Atiaf"", composé de ""Acide tiaprofénique"", est indiqué pour?",Pour soulager la douleur et l'inflammation des articulations,Dermatomycoses (infections fongiques de la peau),"Protectrice, adoucissante, cicatrisante.",Pour soulager la douleur et l'inflammation des articulations,Douleurs et inflammations (luxations),"10%: Acné vulgaire | 2,5% et 5% seront préférentiellement utilisés dans les cas de peau fragile."
Comprimés,Comprimés,Molgam,"Le médicament ""Molgam"", composé de ""Acide tiaprofénique"", est indiqué pour?",Pour soulager la douleur et l'inflammation,Traiter plusieurs infections fongiques et cutanées.,Gorge (anti-inflammatoire),Pour soulager la douleur et les spasmes musculaires,Pour soulager la douleur et l'inflammation,"Hémorroïdes, fissures anales, irritation et démangeaisons."
Comprimés,Comprimés,Surgam,"Le médicament ""Surgam"", composé de ""Acide tiaprofénique"", est indiqué pour?",Pour soulager la douleur et l'inflammation,Pour soulager la douleur et l'inflammation,Brûlures d’estomac chroniques (sur avis médical).,"Inconfort digestif (ballonnements, digestion lente).",Diarrhée aiguë (réduit la sécrétion intestinale).,Aide à la coagulation du sang et prévention des saignements.
Comprimés,Comprimés,Tiagam,"Le médicament ""Tiagam"", composé de ""Acide tiaprofénique"", est indiqué pour?",Pour soulager la douleur et l'inflammation,Pour réduire la diarrhée,Pour traiter l'infection par le VIH,Pour prévenir ou traiter la carence en fer et soutenir l'énergie,Pour traiter ou prévenir une carence en fer,Pour soulager la douleur et l'inflammation
Comprimés,Comprimés,Exacyl,"Le médicament ""Exacyl"", composé de ""Acide tranexamique"", est indiqué pour?",Pour prévenir ou réduire les saignements,Préparation intestinale avant un examen médical (usage ponctuel).,Toux (Compliment allimentaire),Mycoses de la peau,Pour prévenir ou réduire les saignements,Dermite séborrhéique de l'adulte et de l’adolescent.
Comprimés,Comprimés,Azole,"Le médicament ""Azole"", composé de ""Albendazole"", est indiqué pour?",Pour traiter les infections parasitaires,Renforce les os (Compliment alimentaire),"Acné vulgaire en présence de comédons, papules et pustules.",Pour traiter les infections parasitaires,"Dermocorticoïde d’activité forte (Eczéma, psoriasis, démangeaisons, piqûres d’insectes, lupus…)",Confort intestinal
Comprimés,Comprimés,Verzol,"Le médicament ""Verzol"", composé de ""Albendazole"", est indiqué pour?",Pour traiter les infections parasitaires,Pour traiter les inflammations intestinales,Pour traiter les infections parasitaires,Pour réduire l'activité du système immunitaire dans certaines maladies,Pour soulager la douleur et les spasmes musculaires,Pour favoriser une bonne digestion et l'équilibre intestinal
Comprimés,Comprimés,Zentel,"Le médicament ""Zentel"", composé de ""Albendazole"", est indiqué pour?",Pour traiter les infections parasitaires,Brûlures | Plaies | Ulcères cutanés,"Douleurs inflammatoires (arthrite, douleurs musculaires) (usage court).","Articulations, muscles & tendons.","Pour soulager la douleur, la fièvre et prévenir les caillots",Pour traiter les infections parasitaires
Comprimés,Comprimés,Un-alfa,"Le médicament ""Un-alfa"", composé de ""Alfacalcidol"", est indiqué pour?",Pour aider à réguler le calcium et renforcer les os,Pour soutenir le métabolisme et l'énergie,Confort articulaire,"Dermocorticoïde d’activité forte (Eczéma, psoriasis, démangeaisons, piqûres d’insectes, lupus…)",Pour aider à réguler le calcium et renforcer les os,"Douleurs inflammatoires (dents, gorge)"
Comprimés,Comprimés,Flotral,"Le médicament ""Flotral"", composé de ""Alfuzosine"", est indiqué pour?",Pour faciliter la miction en cas de prostate agrandie,Allergie,"Inconfort digestif
 (ex. brûlures d’estomac,
 ballonnements, digestion difficile).",Pour traiter les infections vaginales mixtes (bactériennes et fongiques),Pour traiter la prostate agrandie,Pour faciliter la miction en cas de prostate agrandie
Comprimés,Comprimés,Xatral,"Le médicament ""Xatral"", composé de ""Alfuzosine"", est indiqué pour?",Pour faciliter la miction en cas de prostate agrandie,"Aide à la coagulation du sang, surtout chez les enfants, pour prévenir les saignements.",Pour soulager les spasmes,Pour faciliter la miction en cas de prostate agrandie,"Soulagement des dermatoses aiguës ou chroniques répondant aux corticostéroïdes en réduisant l'inflammation, les démangeaisons et les rougeurs associées à ces conditions.",Affections de la peau où il y a inflammation et des couches de peau épaissies ou squameuses.
Comprimés,Comprimés,Adenol LP,"Le médicament ""Adenol LP"", composé de ""Alfuzosine Chlorhydrate"", est indiqué pour?",Pour faciliter la miction en cas de prostate agrandie,"Douleurs légères, fièvre, ou prévention des caillots sanguins (sur avis médical uniquement) (éviter chez les enfants et en cas de grippe).",Gestion des maladies auto-immunes et de certains cancers.,"Douleurs légères, fièvre, ou prévention des caillots (sur avis médical).",Aide a dormir pour enfants (Compliment Alimentaire),Pour faciliter la miction en cas de prostate agrandie
Comprimés,Comprimés,Lysopuric,"Le médicament ""Lysopuric"", composé de ""Allopurinol"", est indiqué pour?",Pour traiter la goutte et réduire l'acide urique,"Nausées, vomissements (gastro-entérite)","Fer (reduit la fatigue, perte de cheveux)","Ballonnements, gaz intestinaux.","Soulage et apaise articulations, muscles et tendons.",Pour traiter la goutte et réduire l'acide urique
Comprimés,Comprimés,Zyloric,"Le médicament ""Zyloric"", composé de ""Allopurinol"", est indiqué pour?",Pour traiter la goutte et réduire l'acide urique,Crème cicatrisante,Haute gamme,"Psoriasis, lichen, dermite séborrhéique.",Souplesses musculaire et articulaire.,Pour traiter la goutte et réduire l'acide urique
Comprimés,Comprimés,Biomylase,"Le médicament ""Biomylase"", composé de ""Alpha-amylase"", est indiqué pour?",Pour aider à la digestion,Pour aider à la digestion,Pour désinfecter la zone vaginale et prévenir les infections,Pour un effet décongestionnant,Constipation,Inflammations articulaires (arthrite)
Comprimés,Comprimés,Broncoliber,"Le médicament ""Broncoliber"", composé de ""Ambroxol Chlorhydrate"", est indiqué pour?",Pour dégager les voies respiratoires,Pour aider à contrôler l'asthme et les allergies,Crème chauffante,Pour améliorer la circulation sanguine,Pour dégager les voies respiratoires,Pour contrôler le taux de sucre dans le sang (diabète)
Comprimés,Comprimés,AM5,"Le médicament ""AM5"", composé de ""Amlodipine"", est indiqué pour?",Pour baisser la tension artérielle,Réduction de l'inflammation et soulagement des réactions allergiques.,"Résorption des bleus, bosses et contusions | Reduit la douleur",Pour baisser la tension artérielle,"Antibiotique, Infections de la peau dues à staphylocoque et streptocoque",Pour traiter la prostate agrandie
Comprimés,Comprimés,Amcard,"Le médicament ""Amcard"", composé de ""Amlodipine"", est indiqué pour?",Pour baisser la tension artérielle,Pour baisser la tension artérielle,Soulagement des douleurs et réduction de l'inflammation (douleurs articulaires/musculaires).,Pour améliorer l'apport en énergie au cœur et réduire les symptômes d'angine,Pour un effet décongestionnant,Gorge
Comprimés,Comprimés,Amep,"Le médicament ""Amep"", composé de ""Amlodipine"", est indiqué pour?",Pour baisser la tension artérielle,Pour traiter certaines maladies du sang,"Amélioration de la visibilité des organes lors d'examens d'imagerie (scanner, IRM, etc.).",Pour baisser la tension artérielle,Pour soulager la douleur et prévenir les caillots,Pour aider le cœur à mieux fonctionner
Comprimés,Comprimés,Amlodipine maphar,"Le médicament ""Amlodipine maphar"", composé de ""Amlodipine"", est indiqué pour?",Pour baisser la tension artérielle,"Aide à la digestion (ballonnements, lourdeurs).",Gel chauffant et refroidissant. Muscle-articulation.,Pour soulager la douleur,Pour baisser la tension artérielle,Pour soulager les troubles digestifs
Comprimés,Comprimés,Amlodipine Win,"Le médicament ""Amlodipine Win"", composé de ""Amlodipine"", est indiqué pour?",Pour baisser la tension artérielle,Pour baisser la tension artérielle,Pour soulager les allergies,Pour traiter l'insuffisance cardiaque,Hygiène du nez,Rougeurs ou irritations de la peau sensible chez les bébés.
Comprimés,Comprimés,Amilo,"Le médicament ""Amilo"", composé de ""Amlodipine"", est indiqué pour?",Pour baisser la tension artérielle,"Peau, gorge, infections résistantes",Pour faciliter la respiration,Traitement des carences en fer et de l'anémie ferriprive.,Pour baisser la tension artérielle,Traitement local d'appoint des ulcérations cutanées.
Comprimés,Comprimés,Amlor Plus,"Le médicament ""Amlor Plus"", composé de ""Amlodipine"", est indiqué pour?",Pour baisser la tension artérielle,Hémorroïdes (soulagement rapide de la douleur),Pour baisser la tension artérielle,Pour soulager les nausées et les vomissements,Douleurs articulaires ou musculaires inflammatoires,Pour soulager les spasmes musculaires
Comprimés,Comprimés,Amovas,"Le médicament ""Amovas"", composé de ""Amlodipine"", est indiqué pour?",Pour baisser la tension artérielle,Infections fongiques de la peau et des ongles.,Aide digestif naturel,Pour baisser la tension artérielle,"Symptômes du rhume (ex. congestion nasale, toux, fièvre, courbatures).",Douleurs chroniques (arthrose)
Comprimés,Comprimés,Anglor,"Le médicament ""Anglor"", composé de ""Amlodipine"", est indiqué pour?",Pour baisser la tension artérielle,Brûlures | Plaies | Ulcères cutanés,Pour stimuler la circulation locale,Pour baisser la tension artérielle,"Mycoses, infections fongiques",Hémorroïdes (soulagement et réparation)
Comprimés,Comprimés,Dipicor,"Le médicament ""Dipicor"", composé de ""Amlodipine"", est indiqué pour?",Pour baisser la tension artérielle,Pour l'hygiène du nez,Gel oral pour anesthesie de contact.,Pour baisser la tension artérielle,Dermite séborrhéique de l'adulte et de l’adolescent.,Pour un effet décongestionnant
Comprimés,Comprimés,Dolpine,"Le médicament ""Dolpine"", composé de ""Amlodipine"", est indiqué pour?",Pour baisser la tension artérielle,Souplesses musculaire et articulaire.,Toux avec effet sedatif,"Douleur modérée à intense (ex. blessures, douleurs post-opératoires) quand le paracétamol seul ne suffit pas (éviter un usage prolongé, risque de constipation).",Réhydratation (diarrhée/vomissements sévères).,Pour baisser la tension artérielle
Comprimés,Comprimés,Inikal,"Le médicament ""Inikal"", composé de ""Amlodipine"", est indiqué pour?",Pour baisser la tension artérielle,Piqûres d'orties et d'insectes | Coups de soleil localisés.,Pour traiter une hypothyroïdie (thyroïde sous-active),Pour améliorer l'énergie et la récupération musculaire,Pour baisser la tension artérielle,"Ballonnements, gaz intestinaux."
Comprimés,Comprimés,Lowrac,"Le médicament ""Lowrac"", composé de ""Amlodipine"", est indiqué pour?",Pour baisser la tension artérielle,"Agent antiprurigineux et antiallergique. En cas de brûlures, de coups de soleil et de piqúres d'insectes.",Traitement des carences en fer et de l'anémie ferriprive.,Paracetamol,Pour baisser la tension artérielle,Pour réduire la diarrhée
Comprimés,Comprimés,Medep,"Le médicament ""Medep"", composé de ""Amlodipine"", est indiqué pour?",Pour baisser la tension artérielle,Constipation occasionnelle.,Régénère le Microbiote Vaginal,"nfections fongiques de la vulve et du vagin causées par des champignons microscopiques, comme les mycoses vulvo-vaginales.",Pour améliorer la circulation sanguine,Pour baisser la tension artérielle
Comprimés,Comprimés,Mibral,"Le médicament ""Mibral"", composé de ""Amlodipine"", est indiqué pour?",Pour baisser la tension artérielle,Pour soulager les symptômes de la vessie hyperactive,Pour traiter les infections vaginales mixtes (bactériennes et fongiques),Pour baisser la tension artérielle,"Pour soulager la douleur, la fièvre et les spasmes musculaires",Piqûres d'orties et d'insectes | Coups de soleil localisés.
Comprimés,Comprimés,Olmadip,"Le médicament ""Olmadip"", composé de ""Amlodipine"", est indiqué pour?",Pour baisser la tension artérielle,Pour soutenir le métabolisme et l'énergie,"Rhume (congestion nasale, fièvre, allergies).",Pour baisser la tension artérielle,Antiacide,Pour soulager les brûlures d'estomac et les reflux acides
Comprimés,Comprimés,Orovasc,"Le médicament ""Orovasc"", composé de ""Amlodipine"", est indiqué pour?",Pour baisser la tension artérielle,Métabolisme et Énergie: Aide à dynamiser l'organisme,Pour baisser la tension artérielle,"Rétablir la flore intestinale (ballonnements, transit irrégulier).",Appétit,Pour traiter certains cancers du sein
Comprimés,Comprimés,Perovasc,"Le médicament ""Perovasc"", composé de ""Amlodipine"", est indiqué pour?",Pour baisser la tension artérielle,"Protectrice, adoucissante, cicatrisante.","Psoriasis, eczéma, démangeaisons, allergies cutanées.",Crème de massage apaisante et calmante,Pour baisser la tension artérielle,Fer (Compliment alimentaire)
Comprimés,Comprimés,Pimlo,"Le médicament ""Pimlo"", composé de ""Amlodipine"", est indiqué pour?",Pour baisser la tension artérielle,Pour soulager le rhume,Pour soulager la douleur et l'inflammation,Renforcement immunitaire en période hivernale.,Pour baisser la tension artérielle,Crème de massage chauffante
Comprimés,Comprimés,Artemon,"Le médicament ""Artemon"", composé de ""Amlodipine | Périndopril arginine"", est indiqué pour?",Pour baisser la tension artérielle,Sécheresse vaginale,Pour renforcer les os et traiter l'ostéoporose,Pour baisser la tension artérielle,Pour traiter les infections bactériennes,Dermatomycoses (infections fongiques de la peau)
Comprimés,Comprimés,Amlor,"Le médicament ""Amlor"", composé de ""Amlodipine | Atorvastatine"", est indiqué pour?",Pour baisser la tension artérielle et réduire le cholestérol,Pour contrôler le taux de sucre dans le sang (diabète),Réduction de l'inflammation et soulagement des réactions allergiques.,Toux grasse (fluidifie le mucus).,Pour baisser la tension artérielle,Pour baisser la tension artérielle et réduire le cholestérol
Comprimés,Comprimés,Exforge,"Le médicament ""Exforge"", composé de ""Amlodipine | Valsartan"", est indiqué pour?",Pour baisser la tension artérielle,"Douleurs rhumatismales, lumbagos, torticolis, musculaire ou ligamentaire | Massage sportif.",Pour soulager les troubles digestifs et nettoyer l'estomac en cas d'intoxication,Prévention des caillots sanguins.,Pour baisser la tension artérielle,Pour traiter la prostate agrandie
Comprimés,Comprimés,Lotevan,"Le médicament ""Lotevan"", composé de ""Amlodipine | Valsartan"", est indiqué pour?",Pour baisser la tension artérielle,Pour réduire l'activité du système immunitaire dans certaines maladies,Pour baisser la tension artérielle,Pour stimuler la circulation locale,Constipation,Pour prévenir ou réduire les saignements
Comprimés,Comprimés,Valmep,"Le médicament ""Valmep"", composé de ""Amlodipine | Valsartan"", est indiqué pour?",Pour baisser la tension artérielle,Pour réduire le cholestérol,Confort intestinal chez l’enfant (diarrhée légère).,Solidité osseuse | Performance musculaire | Rwnforcement immunitaire,Antiparasitaire (A frotter),Pour baisser la tension artérielle
Comprimés,Comprimés,Xilam,"Le médicament ""Xilam"", composé de ""Amlodipine | Valsartan"", est indiqué pour?",Pour baisser la tension artérielle,Pour traiter les rhinites allergiques,Rhume: Eucalyptus + Cu | Allergies: Calcium + Mn,"Traitement d'infections bactériennes, notamment la syphilis.","Infections urinaires, respiratoires + fluidification des sécrétions bronchiques.",Pour baisser la tension artérielle
Comprimés,Comprimés,Neutral,"Le médicament ""Neutral"", composé de ""Antiacide"", est indiqué pour?",Pour neutraliser l'excès d'acidité de l'estomac,Pour neutraliser l'excès d'acidité de l'estomac,"Résorption des bleus, bosses et contusions | Reduit la douleur",Pour traiter une acné sévère,Aide à la coagulation du sang et prévention des saignements.,Pour calmer les inflammations et les allergies
Comprimés,Comprimés,Eliquis,"Le médicament ""Eliquis"", composé de ""Apixaban"", est indiqué pour?",Pour prévenir la formation de caillots,Pour rincer et hydrater les voies nasales,Améliore le confort respiratoire,Pour traiter certaines maladies du sang,Pour prévenir la formation de caillots,"Équilibre de la flore intestinale (après antibiotiques, diarrhée)."
Comprimés,Comprimés,Bipreterax,"Le médicament ""Bipreterax"", composé de ""Arginine"", est indiqué pour?",Pour améliorer la circulation sanguine,Pour faciliter la respiration,Pour améliorer la circulation sanguine,"Psoriasis, lupus, lichen, cicatrices épaisses.",Améliore la mobilité,Constipation
Comprimés,Comprimés,Preterax,"Le médicament ""Preterax"", composé de ""Arginine"", est indiqué pour?",Pour améliorer la circulation sanguine,"Hémorroïdes (douleur, inflammation)",Pour améliorer la circulation sanguine,Infections de la peau provoquées par une bactérie appartenant à la famille des staphylocoques.,"Urinaire, intestins, os",Pour réduire le cholestérol
Comprimés,Comprimés,Askardil,"Le médicament ""Askardil"", composé de ""Aspirine (Acide acétylsalicylique)"", est indiqué pour?","Pour soulager la douleur, la fièvre et prévenir les caillots",Pour améliorer l'apport en énergie au cœur,Pour réduire l'excès d'eau dans le corps,"Pour soulager la douleur, la fièvre et prévenir les caillots",Ibuprofène,Amélioration de la lubrification des articulations et soulagement des douleurs arthritiques.
Comprimés,Comprimés,Cardio Aspirine,"Le médicament ""Cardio Aspirine"", composé de ""Aspirine (Acide acétylsalicylique)"", est indiqué pour?",Pour soulager la douleur et prévenir les caillots,Pour traiter une thyroïde trop active (hyperthyroïdie),Pour soulager la douleur et prévenir les caillots,Cooling gel (rafraichit et doncontracte) | Warm-up gel (decontracte et detend),Reparatrice (Cicatrices),Pour traiter l'infection par le VIH
Comprimés,Comprimés,Cardioflex,"Le médicament ""Cardioflex"", composé de ""Aspirine (Acide acétylsalicylique)"", est indiqué pour?",Pour soulager la douleur et prévenir les caillots,Pour soulager les crampes et spasmes digestifs,Pour traiter les symptômes d'une vessie hyperactive,"Mycoses, infections fongiques",Antiasthmatique,Pour soulager la douleur et prévenir les caillots
Comprimés,Comprimés,Tenormine,"Le médicament ""Tenormine"", composé de ""Atenolol"", est indiqué pour?",Pour baisser la tension artérielle,Pour baisser la tension artérielle,Soulagement des douleurs et réduction de l'inflammation (douleurs articulaires/musculaires).,"10%: Acné vulgaire | 2,5% et 5% seront préférentiellement utilisés dans les cas de peau fragile.",Douleurs menstruelles intenses,Toux (Compliment Alimentaire)
Comprimés,Comprimés,Atenor,"Le médicament ""Atenor"", composé de ""Aténolol"", est indiqué pour?",Pour baisser la tension artérielle et protéger le cœur,Gel oral pour anesthesie de contact.,Pour baisser la tension artérielle et protéger le cœur,Stimule le transit,"Inflammation causée par des champignons, de l'eczéma et de la dermatite.",Pour traiter l'infection par le VIH
Comprimés,Comprimés,Normatens,"Le médicament ""Normatens"", composé de ""Aténolol"", est indiqué pour?",Pour baisser la tension artérielle et protéger le cœur,Pour traiter les rhinites allergiques,Traitement des carences en fer et de l'anémie ferriprive.,Régénère et stimule l'immunité de la flore intestinale,Pour baisser la tension artérielle et protéger le cœur,Pour soulager les spasmes de la vessie
Comprimés,Comprimés,Costal,"Le médicament ""Costal"", composé de ""Atorvastatine"", est indiqué pour?",Pour réduire le cholestérol,Aide à la coagulation du sang et prévention des saignements.,Pour traiter l'atrophie vaginale et restaurer l'équilibre hormonal,Rougeurs ou irritations de la peau sensible chez les bébés.,Gorge (Compliment Alimentaire),Pour réduire le cholestérol
Comprimés,Comprimés,LD-Nor,"Le médicament ""LD-Nor"", composé de ""Atorvastatine"", est indiqué pour?",Pour réduire le cholestérol dans le sang,Pour réduire le cholestérol dans le sang,Infections de la peau provoquées par une bactérie appartenant à la famille des staphylocoques ou des streptocoques.,Haute gamme,Pour soulager le rhume,Pour traiter l'endométriose et soulager les douleurs
Comprimés,Comprimés,Newvast,"Le médicament ""Newvast"", composé de ""Atorvastatine"", est indiqué pour?",Pour réduire le cholestérol,Articulations.,Pour faciliter la respiration,Pour réduire le cholestérol,Pour prévenir la formation de caillots,"Antifongique: Candidoses, Dermatophyties, Intertrigos, Perlèches."
Comprimés,Comprimés,Tahor,"Le médicament ""Tahor"", composé de ""Atorvastatine"", est indiqué pour?",Pour réduire le cholestérol,"Gorge, poumons, infections urinaires",Souplesses musculaire et articulaire.,Affections cutanées non infectées qui répondent à la corticothérapie locale.,Pour réduire le cholestérol,"Hémorroïdes (démangeaisons, gonflement)"
Comprimés,Comprimés,Torva,"Le médicament ""Torva"", composé de ""Atorvastatine"", est indiqué pour?",Pour réduire le cholestérol,Confort intestinal chez l’enfant (diarrhée légère).,Aide a dormir pour enfants (Compliment Alimentaire),Pour réduire le cholestérol,Élimination de l'excès de liquide (réduction des œdèmes et de la rétention d'eau).,Traumatologie benigne en l'absence de plaies
Comprimés,Comprimés,Liptorva,"Le médicament ""Liptorva"", composé de ""Atorvastatine anhydre"", est indiqué pour?",Pour réduire le cholestérol,"Antibiotique, Infections de la peau dues à staphylocoque et streptocoque","Infections staphylococciques : peau, plaies, poumons (fibrose kystique, pneumonie).",Pour soutenir la santé des os et des articulations,Pour soulager la douleur et la fièvre,Pour réduire le cholestérol
Comprimés,Comprimés,Imurel,"Le médicament ""Imurel"", composé de ""Azathioprine"", est indiqué pour?",Pour réduire l'activité du système immunitaire dans certaines maladies,Réduction rapide de l'inflammation et traitement des réactions allergiques sévères.,Inflammations articulaires (arthrite),Pour soulager la douleur et prévenir les caillots,"Erythèmes secondaires a des traitements radiothérapiques, brulures 1er et 2eme degré et toute autre plaie cutanée non inféctée.",Pour réduire l'activité du système immunitaire dans certaines maladies
Comprimés,Comprimés,Vitanevril Fort,"Le médicament ""Vitanevril Fort"", composé de ""Benfotiamine"", est indiqué pour?",Pour soutenir le métabolisme du glucose et le système nerveux,Herpes,Pour décongestionner le nez,Pour soutenir le métabolisme du glucose et le système nerveux,"Gorge, poumons, infections urinaires",Détente musculaire et réduction des spasmes douloureux.
Comprimés,Comprimés,Calcinib,"Le médicament ""Calcinib"", composé de ""Bésylate d`Amlodipine"", est indiqué pour?",Pour baisser la tension artérielle,Pour traiter une prostate agrandie,Pour baisser la tension artérielle,Toux grasse (fluidifie le mucus).,Pour prévenir le rejet d'organe (immunosuppresseur),"Herpès génital, poussées récurrentes."
Comprimés,Comprimés,Betaserc,"Le médicament ""Betaserc"", composé de ""Bétahistine"", est indiqué pour?",Pour traiter les vertiges,Pour traiter les vertiges,"Antalgique, effet apaisant (Crème pour massage)",Antifongique a large spectre d'action.,Infections de la peau provoquées par une bactérie appartenant à la famille des staphylocoques ou des streptocoques.,"Douleurs inflammatoires (tendinite, sciatique)"
Comprimés,Comprimés,Lectil,"Le médicament ""Lectil"", composé de ""Bétahistine"", est indiqué pour?",Pour traiter les vertiges,Pour réduire l'inflammation et les réactions allergiques,Pour traiter les rhinites allergiques,Pour traiter les vertiges,Pour traiter la goutte,Irritations de la peau.
Comprimés,Comprimés,Bétastène,"Le médicament ""Bétastène"", composé de ""Bétaméthasone"", est indiqué pour?",Pour calmer les inflammations et les allergies,Affections de la peau où il y a inflammation et des couches de peau épaissies ou squameuses.,Constipation,Herpes,Pour calmer les inflammations et les allergies,"Inflammation causée par des champignons, de l'eczéma et de la dermatite."
Comprimés,Comprimés,Célestène,"Le médicament ""Célestène"", composé de ""Bétaméthasone"", est indiqué pour?",Pour réduire l'inflammation et les réactions allergiques,"Antifongique, antibacterien",Réduction de la douleur et de l'inflammation.,"Irritations cutanées, Érythème fessier du nourrisson (fesses rouges).",Pour réduire l'inflammation et les réactions allergiques,"Rhume (fièvre, écoulement nasal, fatigue)."
Comprimés,Comprimés,Kerlone,"Le médicament ""Kerlone"", composé de ""Bétaxolol"", est indiqué pour?",Pour baisser la tension artérielle et protéger le cœur,"Psoriasis, lichen, dermite séborrhéique.",Pour baisser la tension artérielle et protéger le cœur,"Pommade antiseptique, appoint des affections de la peau, infectées ou risquant de s'infecter.",Traitement des carences en fer et de l'anémie.,Réduction de l'inflammation et soulagement des réactions allergiques.
Comprimés,Comprimés,Kalieff,"Le médicament ""Kalieff"", composé de ""Bicarbonate de potassium"", est indiqué pour?",Pour aider à rétablir l'équilibre en potassium et neutraliser l'acidité,Pour aider à rétablir l'équilibre en potassium et neutraliser l'acidité,Pour ralentir le rythme cardiaque,Pour prévenir les caillots sanguins,Mycoses de la peau,"Dents, infections digestives"
Comprimés,Comprimés,Labixten,"Le médicament ""Labixten"", composé de ""Bilastine"", est indiqué pour?",Pour soulager les allergies,Pour traiter la démence légère à modérée,Pour traiter les infections parasitaires,Métabolisme et Énergie: Aide à dynamiser l'organisme,Pour soulager les allergies,Réduction des saignements et aide à la coagulation.
Comprimés,Comprimés,Contalax,"Le médicament ""Contalax"", composé de ""Bisacodyl"", est indiqué pour?",Pour faciliter le transit intestinal,"Fièvre, douleurs modérées (maux de dents)",Pour aider à prévenir l'anémie et maintenir la santé thyroïdienne,Favorise l'élimination des gaz et facilite le transit intestinal,Fer (multivitamines),Pour faciliter le transit intestinal
